Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
tracking_contact_phone,assessmentdatabank_tracking,,yesno,B4. Did patient provide phone contact information for research follow-up? ,,,,,,,[approve_recontact] = '1',y,,,,, @HIDDEN-SURVEY
tracking_contact_email,assessmentdatabank_tracking,,yesno,B5. Did patient provide e-mail contact information for research follow-up? ,,,,,,,[approve_recontact] = '1',y,,,,, @HIDDEN-SURVEY
assess_id,assessmentdatabank_tracking_followup,,text,B1. Assessment ID#,,(YYYY0000AA),,,,,,y,,,,, @Hidden_Form
person_completing,assessmentdatabank_tracking_followup,,dropdown,B2. Name of person completing follow-up assessment,"0, Emily Bartlett | 1, Lindsey Johnson | 2, Eric Richardson | 3, Deborah Morrison | 4, Reanne Mathai | 5, Michael Limia | 6, Will Trunnell | 7, Bair Diamond | 8, Harrison Matthews | 9, Benjamin Borgert | 10, Ellen Foley | 11, Rebecca Satz | 12, Ana Cruz | 13, Kervins Clements | 14, Brandon McConnell | 15, Sarah Michaud | 16, Molli Dodaro | 17, Daniel Hein | 18, Evan Curry | 19, Nastassja Luna | 20, Allison Romano | 21, Dustin Phan",,,,,,,y,,,,,
assess_start_time,assessmentdatabank_tracking_followup,,text,B3. Assessment Date ,,,date_mdy,,,,,y,,,,,
f_u_or_d_c,assessmentdatabank_tracking_followup,,radio,B3a. Follow-up/Discharge/Commuter ,"1, 1. Follow-up | 2, 2. Discharge | 3, 3. Commuter Discharge",,,,,,,,,,,,
days_in_tx,assessmentdatabank_tracking_followup,,text,B4. Number of days since baseline.  ,,,,,,,,,,,,, @HIDDEN-SURVEY
insurance_discharge,assessmentdatabank_tracking_followup,,yesno,B4a. Is discharge due to insurance? ,,,,,,,,,,,,,
expected_discharge,assessmentdatabank_tracking_followup,,dropdown,B5. Expect to discharge,"0, Unsure | 1, Within next 7 days | 2, Within 8-30 days | 3, More than 30 days",,,,,,,,,,,,
redcap_entry,assessmentdatabank_tracking_followup,,dropdown,B6. Name of person entering data,"1, Deborah Morrison | 2, Reanne Mathai | 3, Eric Richardson | 4, Michael Limia | 5, Bair Diamond | 6, Harrison Matthews | 7, Benjamin Borgert | 8, Ellen Foley | 9, Rebecca Satz | 10, Ana Cruz | 11, Kervins Clement | 12, Brandon McConnell | 13, Sarah Michaud | 14, Molli Dodaro | 15, Daniel Hein | 16, Evan Curry | 17, Nastassja Luna | 18, Allison Romano | 19, Dustin Phan",,,,,,,,,,,, @HIDDEN-SURVEY
assess_id_rm,pacs_aase_dase_id,,text,Assessment ID#,,,,,,,,,,,,,
date_weekly_retest,pacs_aase_dase_id,,text,Date,,,date_mdy,,,,,y,,,,,
admissions_vista,admissions_info,,yesno,1. Was patient at Vista?,,,,,,,,y,,,,,
days_at_vista,admissions_info,,text,"2. If yes, for how many nights?  ",,,number,,,,[admissions_vista] = '1',y,,,,,
days_at_frc,admissions_info,,text,3. Number of days at FRC,,,number,,,,,,,,,, @HIDDEN-SURVEY
vista_return,admissions_info,,yesno,4. Did patient return to Vista after FRC admit? ,,,,,,,,,,,,, @HIDDEN-SURVEY
admit_type_vol,admissions_info,,dropdown,5. Initial Admission Type,"0, Voluntary | 1, Involuntary/Compelled | 2, Unknown",,,,,,,y,,,,, @HIDDEN-SURVEY
referral_source,admissions_info,,checkbox,6. Referral Source,"1, Alumni | 2, Alumni referral | 3, Self | 4, Friends/Family | 5, Internet search | 6, Employee Assistance Program (EAP) | 7, Living Hope Recovery | 8, Court order | 9, Other state PHP (complete 6a) | 10, FL PRN | 11, FL IPN | 12, FL Bar | 13, Shands Hosp/ED | 14, Jax Behavioral | 15, Meridian-GNV | 16, Meridian-Lake City | 17, Meridian-Other | 18, Simed-GNV | 19, Sunrise Detox | 20, Destin Recovery Center | 21, Dr. Teitelbaum (IME) | 22, Dr. Russell | 23, Dr. Smollen | 24, Dr. Greene | 25, Dr. Thomas Serio (TLH) | 26, Dr. Wekiva | 27, Other | 28, Larry McGee | 29, Rachel Waters | 30, Unknown",,,,,,,,,,,, @HIDDEN-SURVEY
php_state,admissions_info,,dropdown,6a. PHP Referral,"1, Alabama | 2, Alaska | 3, Arizona | 4, Arkansas | 5, California | 6, Colorado | 7, Connecticut | 8, Delaware | 9, Florida | 10, Georgia | 11, Hawaii | 12, Idaho | 13, Illinois | 14, Indiana | 15, Iowa | 16, Kansas | 17, Kentucky | 18, Louisiana | 19, Maine | 20, Maryland | 21, Massachusetts | 22, Michigan | 23, Minnesota | 24, Mississippi | 25, Missouri | 26, Montana | 27, Nebraska | 28, Nevada | 29, New Hampshire | 30, New Jersey | 31, New Mexico | 32, New York | 33, North Carolina | 34, North Dakota | 35, Ohio | 36, Oklahoma | 37, Oregon | 38, Pennsylvania | 39, Rhode Island | 40, South Carolina | 41, South Dakota | 42, Tennessee | 43, Texas | 44, Utah | 45, Vermont | 46, Virginia | 47, Washington | 48, West Virginia | 49, Wisconsin | 50, Wyoming",,,,,,[referral_source(9)] = '1',,,,,, @HIDDEN-SURVEY
eap_company,admissions_info,,dropdown,6b. EAP Program,"1, Alachua County Sheriff | 2, NFL Players Association",,,,,,[referral_source(6)] = '1',,,,,, @HIDDEN-SURVEY
ref_other_org,admissions_info,,text,6c. Other ,,,,,,,[referral_source(27)] = '1',,,,,, @HIDDEN-SURVEY
ma_ba,admissions_info,,yesno,7. MA or BA? ,,,,,,,,,,,,, @HIDDEN-SURVEY
ma_or_ba,admissions_info,,dropdown,7a. If yes to above...,"0, Marchman | 1, Baker",,,,,,[ma_ba] = '1',,,,,, @HIDDEN-SURVEY
ama,admissions_info,,yesno,8. Did patient leave AMA?,,,,,,,,,,,,, @HIDDEN-SURVEY
atr,admissions_info,,yesno,"8b. Did patient leave ""Against treatment recommendations""?  ",,,,,,,,,,,,,
payment_form,admissions_info,,checkbox,9. Payment Form,"0, Insurance | 1, Self-Pay",,,,,,,,RH,,,, @HIDDEN-SURVEY
insurance_type,admissions_info,,checkbox,10. Insurance Type ,"0, No Insurance | 1, Aetna | 3, Cigna (CHP) | 4, Humana | 5, Medicare | 6, Medicaid | 7, Keystone Health Plan East | 8, United Healthcare/UMR | 10, CBA | 11, BCBS (Gatorcare/New Directions) | 12, Insurance denied upon admission | 14, FRC Program Rate | 15, Other",,,,,,,,,,,, @HIDDEN-SURVEY
other_ins,admissions_info,,text,"10a. If other, insurance type ",,,,,,,[insurance_type(15)] = '1',,,,,, @HIDDEN-SURVEY
lcd_ins,admissions_info,,text,10b. Last insurance coverage date,,,date_mdy,,,y,,,,10b.,,,
dc_date,admissions_info,,text,10c. Discharge date,,,date_mdy,,,y,,,,,,,
days_no_ins,admissions_info,,calc,10d. # days w/no insurance coverage,"datediff([dc_date],[lcd_ins],""d"",""MDY"",false)",,,,,,,,,,,,
therapist_name,admissions_info,,dropdown,11. Assigned therapist,"1, Alandria | 2, Erin | 3, Lori | 4, Jorelle | 5, Kris | 6, Jeff | 7, Juanita | 8, Michelle | 9, Rachel | 10, Jeff | 11, Pawel | 14, Lisa | 15, Patty | 16, Alisha | 17, Joanne | 18, Judah | 19, Tim | 20, Dina | 21, Fred | 22, Dan",,,,,,,,,,,, @HIDDEN-SURVEY
mh_dx_dsm5,admissions_info,,checkbox,12. MH Dxs,"1, Substance related and addictive disorders | 2, Depressive disorders | 3, Anxiety disorders | 4, Bipolar and related disorders | 5, Trauma and stress related disorders | 6, Neurodev disorders (ADHD, Tic) | 7, Obsessive-Compulsive disorders | 8, Eating disorders | 9, Sleep-wake disorders | 10, Conduct disorders | 11, Neurocog disorders | 12, Personality A | 13, Personality B | 14, Personality C | 15, Unspecified personality disorder | 16, Schizophrenia spectrum disorders | 17, Dissociative disorders | 18, Somatic disorders | 19, Gender dysphoria | 20, Gambling disorder",,,,,,,,,,,,
sa_dx,admissions_info,,checkbox,13. Substance Use Diagnoses ,"0, Alcohol related disorders (F10) | 1, Opioid related disorders (F11) | 2, Cannabis related disorders (F12) | 3, Sedative, hypnotic, or anxiolytic related disorders (F13) | 4, Cocaine related disorders  (F14) | 5, Other stimulant related disorders (F15) | 6, Hallucinogen related disorders  (F16) | 7, Nicotine dependence  (F17) | 8, Inhalant related disorders  (F18) | 9, Other psychoactive substance related disorders (F19)",ICD-10 Code categories,,,,,,,,,,, @HIDDEN-SURVEY
state_residence,admissions_info,,text,State of residence,,,,,,,,,,15,,, @HIDDEN-SURVEY
commuter,admissions_info,,yesno,Did patient become a commuter at any time during treatment?  ,,,,,,,,,,,,, @HIDDEN-SURVEY
commuter_date,admissions_info,,text,Date patient transitioned to commuter status ,,,date_mdy,,,,,,,,,, @HIDDEN-SURVEY
admission_intro,admission_assessment_introduction,,descriptive,"Before each measure, instructions will appear on the screen. I will read those aloud to you, and then I will tell you when to click on the ""SUBMIT"" button to continue on to the measure. There will also be a couple of locations where you will click the ""submit"" button even though you are skipping the question, and I will indicate those.  In addition, there will be a couple of times where I will need to ask you some clarifying questions, so PLEASE DO NOT CLICK ON THE SUBMIT BUTTON until I ask you to do so. Again, if at any time you have questions, please feel free to ask. 

Please click ""submit"" to continue.  ",,,,,,,,,,,,,
demo_intro,demo_intro,,descriptive,"On the first page, you will provide some basic information about yourself.  

Please click the ""submit"" button to continue. ",,,,,,,,,,,,,
gender_v2,demographics,,dropdown,1. Gender,"0, Male | 1, Female | 2, Transgender (M_to_F) | 3, Transgender (F_to_M) | 4, Transitioning (M_to_F) | 5, Transitioning (F_to_M)",,,,,,,y,,,,,
ed_level,demographics,,dropdown,2. Education Level (Please mark highest level completed)  ,"0, Did not complete high school | 1, General Education Degree (GED) | 2, High school diploma | 3, Technical or vocational/No diploma or certificate | 4, Technical or vocational/Diploma or certificate | 5, Some college/No degree | 6, Associate degree | 7, Bachelor degree | 8, Master's degree | 9, Doctoral degree",,,,,,,y,,,,,
profession_2,demographics,,text,3. What is your most recent occupation/profession?,,,,,,,,y,RH,,,,
profession_3,demographics,,yesno,3a. Do you work in a medical profession?,,,,,,,,y,LH,,,,
profession,demographics,,dropdown,3c. Occupation/Profession,"0, Management (11) | 1, Business and Financial Operations (13) | 2, Computer and Mathematical (15) | 3, Architecture and Engineering (17) | 4, Life, Physical, and Social Science (19) | 5, Community and Social Service (21) | 6, Legal (23) | 7, Education, Training, and Library (25) | 8, Arts, Design, Entertainment, Sports and Media (27) | 9, Healthcare Practitioners and Technical (29) | 10, Healthcare Support (31) | 11, Protective Service (33) | 12, Food Prep and Serving Related (35) | 13, Building and Grounds Cleaning and Maintenance (37) | 14, Personal Care and Service Occupations (39) | 15, Sales and Related Occupations (41) | 16, Office and Administrative Support  (43) | 17, Farming, Fishing, Forestry (45) | 18, Construction and Extraction (47) | 19, Installation, Maintenance, and Repair (49) | 20, Production Occupations (51) | 21, Transportation and Material Moving (53) | 22, Homemaker | 23, Student | 30, Unemployed",Nat'l Occupation Descriptions,,,,,,y,,,,, @HIDDEN-SURVEY
dem_safety,demographics,,yesno,3d. Medical safety sensitive?,,,,,,,,y,LH,,,, @HIDDEN-SURVEY
med_role,demographics,,dropdown,3b. What is your medical professional role? ,"1, MD | 2, ARNP/PA/CRNA | 3, RN | 4, LPN | 5, CNA | 6, PhD | 7, MA | 8, EMT | 9, DMD | 10, DVM | 11, Technician | 12, Resident/Intern | 13, DO | 14, PharmD | 15, Other",,,,,,[profession_3] = '1',y,,,,,
med_role_other,demographics,,text,3e. Medical Professional Other,,,,,,,[med_role] = '15',y,,,,, @HIDDEN-SURVEY
non_med_ss,demographics,,yesno,3f. Non-medical safety sensitive?,,,,,,,,y,LH,,,, @HIDDEN-SURVEY
non_med_ss_profession,demographics,,dropdown,3g. Non-medical safety sensitive profession,"0, Law | 1, Pilot | 10, Other",,,,,,[non_med_ss] = '1',y,,,,, @HIDDEN-SURVEY
non_med_safety_other,demographics,,text,Non-med ss other:  ,,,,,,,[non_med_ss_profession] = '10',y,,,,, @HIDDEN-SURVEY
dem_prof_medical,demographics,,dropdown,4. What is your specialty area?,"0, Internal/Family Med/GP (MD/DO) | 1, Surgery | 2, Pharmacy | 3, Dentistry, Orthodontist, Oral Surgery | 4, Anesthesiology/PACU | 5, Optometry/Ophthalmology | 6, Psychiatry | 7, Psychology/Behavioral Health | 8, OB/GYN | 9, Pediatrics | 10, Veterinary | 11, Emergency Medicine/Urgent Care | 12, Physical, occupational, radiation/radiology, recreation, respiratory, speech therapy, audiology | 13, Veterinary Medicine | 14, Social Work | 15, Research | 16, Pain Management | 17, Oncology | 18, In-home care | 19, Hospitalist | 20, Geriatrics | 21, Neurology/Neurosurgery | 22, Cardiology | 23, Pathology | 24, Pharmacy | 25, Other | 26, ICU/CCU/ICCU | 27, Hospice",Indicate specialty area,,,,,[profession_3] = '1',y,,,,,
other_profession,demographics,,text,Other medical specialty field,,,,,,,[dem_prof_medical] = '25',y,,,,,
dem_q5_addition,demographics,,dropdown,4a. From what country did you receive your medical degree?,"1, US | 2, India | 3, Cuba/Caribbean | 4, Puerto Rico | 5, Colombia | 6, Hungary | 7, Pakistan | 8, Ukraine | 9, Mexico | 10, Canada | 20, Other",,,,,,[profession_3] = '1',y,,,,,
dem_5_country_other,demographics,,text,If other country/med degree ,,,,,,,[dem_q5_addition] = '20',y,,,,,
dem_emp_status,demographics,,dropdown,5. What is your work status for the majority of the previous 12 months?,"0, Full Time | 1, Part Time | 2, Unemployed | 3, Unemployed, Retired | 4, Unemployed, Disabled | 10, Other",,,,,,,y,,,,,
dem_emp_status_other,demographics,,text,5a. Work status other:  ,,,,,,,[dem_emp_status] = '6',y,,,,,
emp_status_effect,demographics,,yesno,6. Has your employment status been affected by substance use?,,,,,,,,y,LH,,,,
emp_status_notes,demographics,,text,6a. How has employment been affected? ,,,,,,,,y,,,,, @HIDDEN-SURVEY
age_today,demographics,,text,7. Age (Years),,,number,,,,,y,,,,,
marital_status,demographics,,radio,8. Marital Status ,"0, Single (never married) | 1, Married | 2, Divorced | 3, Living with partner | 4, Widowed",,,,,,,y,,,,,
race,demographics,,checkbox,9. Race (Check ALL that apply),"0, White | 1, Black or African American | 2, South Asian | 3, Asian | 4, Native Hawaiian or other Pacific Islander | 5, American Indian | 6, Alaska Native | 10, Other",,,,,,,y,,,,,
race_other,demographics,,text,"9a. If you checked ""Other"" above, please provide additional information here.  ",,,,,,,[race(10)] = '1',y,LH,,,,
hispanic,demographics,,radio,10. Are you Hispanic or Latino? ,"1, Yes | 0, No",,,,,,,y,LH,,,,
dem_birth_self,demographics,,radio,11. In what region were you born? ,"1, USA | 2, Canada | 3, Mexico | 4, Central America | 5, South America | 6, Europe | 7, Caribbean | 8, Asia | 9, Africa | 10, Australia/New Zealand",,,,,,,y,,,,,
dem_birth_mom,demographics,,radio,12. In what region was your Mother born? ,"1, USA | 2, Canada | 3, Mexico | 4, Central America | 5, South America | 6, Europe | 7, Caribbean | 8, Asia | 9, Africa | 10, Australia/New Zealand",,,,,,,y,,,,,
dem_birth_dad,demographics,,radio,13. In what region was your Father born? ,"1, USA | 2, Canada | 3, Mexico | 4, Central America | 5, South America | 6, Europe | 7, Caribbean | 8, Asia | 9, Africa | 10, Australia/New Zealand",,,,,,,y,,,,,
tobacco_ever,demographics,,yesno,"14. Have you EVER used tobacco? (If ""no"" go to question 17).",,,,,,,,y,LH,,,,
tobacco_y_n,demographics,,yesno,15. Do you CURRENTLY use tobacco? ,,,,,,,[tobacco_ever] = '1',y,LH,,,,
tobacco_type,demographics,,checkbox,"16. What type(s) of tobacco products have you used in the PAST YEAR? 
(Check ALL that apply). ","0, Cigarettes | 1, E-cigarettes | 2, Smokeless (chew, dip, snus) | 3, Cigars or Cigarillos | 4, Pipe | 5, Hookah | 6, Kreteks | 10, Other | 11, None",,,,,,[tobacco_ever] = '1' or [tobacco_y_n] = '1',y,LV,,,,
tobacco_type_other,demographics,,text,"16a. If you checked ""other"" above, please identify the product used. ",,,,,,,[tobacco_type(10)] = '1' and [tobacco_ever] = '1',y,LH,,,,
dem_sobriety_date,demographics,,text,17. What is your sobriety date? ,,,date_mdy,,,y,,y,LH,,,,
sobriety_calc,demographics,,calc,17a. # of sobriety days (calculated) ,"datediff([dem_start_time_a4],[dem_sobriety_date],""d"",""MDY"",false)",,,,,,,,LH,,,, @HIDDEN
prior_tx,demographics,,yesno,18. Have you ever been in treatment for a substance use disorder before?,,,,,,,,y,LH,,,,
prior_tx_frc,demographics,,yesno,19. Have you been in tx at FRC before?,,,,,,,[prior_tx] = '1',y,LH,,,,
prior_tx_frc_yr,demographics,,text,"19a. Regardless of location, what year(s) were you previously in treatment? (Example: 2012, 2015)",,,,,,,[prior_tx] = '1' or [prior_tx_frc] = '1',y,LH,,,,
prior_tx_frc_location,demographics,,checkbox,19b. Which programs where you involved in?,"1, Inpatient detox (Vista) | 2, Partial Hospitalization Program (PHP) or Residential (FRC) | 3, Intensive outpatient (IOP) | 4, Outpatient clinic visits",,,,,,[prior_tx_frc] = '1',y,LV,,,,
monitor_y_n,demographics,,yesno,20. Are you currently known to a professional monitoring program? ,,,,,,,,y,LH,,,,
monitor_program,demographics,,dropdown,"20a. Please indicate which monitoring program you are involved with.
 ","0, Physicians Health Program | 1, Health Professional's Monitoring Program | 2, Nursing Assistance Program | 3, Attorney Assistance Program | 4, Pilot Monitoring Program | 5, Business Executives Assistance Program | 30, Other",,,,,,[monitor_y_n] = '1',y,,,,,
monitor_group_other,demographics,,text,"20b. If you checked ""other"" above, please indicate the monitoring program you are associated with.   ",,,,,,,[monitor_program] = '30',y,LH,,,,
monitor_state,demographics,,text,20c. Please indicate in which state the monitoring program is associated with.  ,,,,,,,[monitor_y_n] = '1',y,LH,,,,
qol_intro,qol_intro,,descriptive,"The next measure is about your quality of life. Please consider only the past TWO WEEKS when answering these questions.  

Please click the ""submit"" button to continue.",,,,,,,,,,,,,
who_1,current_quality_of_life,Please think back over the LAST TWO WEEKS when answering these questions. ,radio,1. How would you rate your quality of life?,"1, Very poor | 2, Poor | 3, Neither poor nor good | 4, Good | 5, Very good",,,,,,,y,,,gr1_1,,
who_2,current_quality_of_life,,radio,2. How satisfied are you with your health?,"1, Very dissatisfied | 2, Dissatisfied | 3, Neither satisfied nor dissatisfied | 4, Satisfied | 5, Very satisfied",,,,,,,y,,,gr2_1,,
who_3,current_quality_of_life,,radio,3. To what extent do you feel that physical pain prevents you from doing what you need to do?,"5, Not at all | 4, A little | 3, A moderate amount | 2, Very much | 1, An extreme amount",,,,,,,y,LH,,,,
who_4,current_quality_of_life,,radio,4. How much do you need any medical treatment to function in your daily life?   ,"5, Not at all | 4, A little | 3, A moderate amount | 2, Very much | 1, An extreme amount",,,,,,,y,LH,,,,
who_5,current_quality_of_life,,radio,5. How much do you enjoy life?,"1, Not at all | 2, A little | 3, A moderate amount | 4, Very much | 5, An extreme amount",,,,,,,y,,,gr1,,
who_6,current_quality_of_life,,radio,6. To what extent do you feel your life to be meaningful?,"1, Not at all | 2, A little | 3, A moderate amount | 4, Very much | 5, An extreme amount",,,,,,,y,,,gr1,,
who_7,current_quality_of_life,,radio,7. How well are you able to concentrate?,"1, Not at all | 2, Slightly | 3, A moderate amount | 4, Very much | 5, Extremely",,,,,,,y,,,gr2,,
who_8,current_quality_of_life,,radio,8. How safe do you feel in your daily life?,"1, Not at all | 2, Slightly | 3, A moderate amount | 4, Very much | 5, Extremely",,,,,,,y,,,gr2,,
who_9,current_quality_of_life,,radio,9. How healthy is your physical environment?,"1, Not at all | 2, Slightly | 3, A moderate amount | 4, Very much | 5, Extremely",,,,,,,y,,,gr2,,
who_10,current_quality_of_life,,radio,10. Do you have enough energy for everyday life?,"1, Not at all | 2, A little | 3, Moderately | 4, Mostly | 5, Completely",,,,,,,y,,,gr3,,
who_11,current_quality_of_life,,radio,11. Are you able to accept your bodily appearance?,"1, Not at all | 2, A little | 3, Moderately | 4, Mostly | 5, Completely",,,,,,,y,,,gr3,,
who_12,current_quality_of_life,,radio,12. Have you enough money to meet your needs?,"1, Not at all | 2, A little | 3, Moderately | 4, Mostly | 5, Completely",,,,,,,y,,,gr3,,
who_13,current_quality_of_life,,radio,13. How available to you is the information you need in your day-to-day life?,"1, Not at all | 2, A little | 3, Moderately | 4, Mostly | 5, Completely",,,,,,,y,,,gr3,,
who_14,current_quality_of_life,,radio,14. To what extent do you have the opportunity for leisure activities?,"1, Not at all | 2, A little | 3, Moderately | 4, Mostly | 5, Completely",,,,,,,y,,,gr3,,
who_15,current_quality_of_life,,radio,15. How well are you able to get around?,"1, Very poor | 2, Poor | 3, Neither poor nor well | 4, Well | 5, Very well",,,,,,,y,,,gr4,,
who_16,current_quality_of_life,,radio,16. How satisfied are you with your sleep?,"1, Very dissatisfied | 2, Dissatisfied | 3, Neither satisfied nor dissatisfied | 4, Satisfied | 5, Very satisfied",,,,,,,y,,,gr5,,
who_17,current_quality_of_life,,radio,17. How satisfied are you with your ability to perform your daily living activities?,"1, Very dissatisfied | 2, Dissatisfied | 3, Neither satisfied nor dissatisfied | 4, Satisfied | 5, Very satisfied",,,,,,,y,,,gr5,,
who_18,current_quality_of_life,,radio,18. How satisfied are you with your capacity for work?,"1, Very dissatisfied | 2, Dissatisfied | 3, Neither satisfied nor dissatisfied | 4, Satisfied | 5, Very satisfied",,,,,,,y,,,gr5,,
who_19,current_quality_of_life,,radio,19. How satisfied are you with yourself?,"1, Very dissatisfied | 2, Dissatisfied | 3, Neither satisfied nor dissatisfied | 4, Satisfied | 5, Very satisfied",,,,,,,y,,,gr5,,
who_20,current_quality_of_life,,radio,20. How satisfied are you with your personal relationships?,"1, Very dissatisfied | 2, Dissatisfied | 3, Neither satisfied nor dissatisfied | 4, Satisfied | 5, Very satisfied",,,,,,,y,,,gr5,,
who_21,current_quality_of_life,,radio,21. How satisfied are you with your sex life?,"1, Very dissatisfied | 2, Dissatisfied | 3, Neither satisfied nor dissatisfied | 4, Satisfied | 5, Very satisfied",,,,,,,y,,,gr5,,
who_22,current_quality_of_life,,radio,22. How satisfied are you with the support you get from your friends?,"1, Very dissatisfied | 2, Dissatisfied | 3, Neither satisfied nor dissatisfied | 4, Satisfied | 5, Very satisfied",,,,,,,y,,,gr5,,
who_23,current_quality_of_life,,radio,23. How satisfied are you with the conditions of your living place?,"1, Very dissatisfied | 2, Dissatisfied | 3, Neither satisfied nor dissatisfied | 4, Satisfied | 5, Very satisfied",,,,,,,y,,,gr5,,
who_24,current_quality_of_life,,radio,24. How satisfied are you with your access to health services?,"1, Very dissatisfied | 2, Dissatisfied | 3, Neither satisfied nor dissatisfied | 4, Satisfied | 5, Very satisfied",,,,,,,y,,,gr5,,
who_25,current_quality_of_life,,radio,25. How satisfied are you with your mode of transportation?,"1, Very dissatisfied | 2, Dissatisfied | 3, Neither satisfied nor dissatisfied | 4, Satisfied | 5, Very satisfied",,,,,,,y,,,gr5,,
who_26,current_quality_of_life, ,radio,"26. How often do you have negative feelings, such as blue mood, despair, anxiety, or depression?","5, Never | 4, Seldom | 3, Quite often | 2, Very often | 1, Always",,,,,,,y,,,gr6,,
who_qol_gh_total,current_quality_of_life,,calc,General Health,"sum([who_1],[who_2])",,,,,,,y,,,,, @HIDDEN-SURVEY
trans_phys_hlth,current_quality_of_life,,calc,Transform-physical health ,"if([who_ph_total] ='7', 4, if([who_ph_total] ='8',5,if([who_ph_total] ='9',5, if([who_ph_total]='10',6, if([who_ph_total]='11',6, if([who_ph_total]='12',7,if([who_ph_total]='13',7, if([who_ph_total]='14',8, if([who_ph_total]='15',9, if([who_ph_total]='16',9, if([who_ph_total]='17',10, if([who_ph_total]='18', 10, if([who_ph_total]='19',11, if([who_ph_total]='20',11, if([who_ph_total]='21',12, if([who_ph_total]='22',13, if([who_ph_total]='23',13, if([who_ph_total]='24',14, if([who_ph_total]='25',14, if([who_ph_total]='26',15, if([who_ph_total]='27',15, if([who_ph_total]='28',16, if([who_ph_total]='29',17, if([who_ph_total]='30',17, if([who_ph_total]='31',18, if([who_ph_total]='32',18, if([who_ph_total]='33',19, if([who_ph_total]='34',19, if([who_ph_total]='35',20,'')))))))))))))))))))))))))))))",,,,,,,,,,,, @HIDDEN-SURVEY
